Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Debt to equity,Price to Sales,Sales growth,EPS,Free Cash generated from EBIDTA,EVEBITDA,Price to book value,EV by FCF,Merged_data,URL
Sunshield Chem.,530845,,Chemicals,1021.0,39.83,750.75,0.24,5.99,78.81,85.53,28.69,22.22,1.04,2.65,15.78,25.64,1.8,19.94,9.13,140.68,530845.0,https://www.screener.in/company/530845/consolidated/
Sunshine Capital,539574,,Finance & Investments,2.24,222.23,233.34,0.0,,,,,0.25,12.1,3.14,867.8,-0.45,-20663.11,769.54,4.21,928.21,539574.0,https://www.screener.in/company/539574/consolidated/
Sunteck Realty,512179,SUNTECK,Construction,544.0,112.39,7971.6,0.27,101.34,462.71,426.89,773.52,4.69,0.12,14.11,55.84,4.84,28.19,47.67,2.55,33.78,SUNTECK,https://www.screener.in/company/SUNTECK/consolidated/
Super Bakers (I),530735,,Food - Processing - Indian,28.82,24.87,8.7,0.0,0.08,14.29,0.0,,10.86,0.0,,,1.16,93.88,8.33,1.86,13.42,530735.0,https://www.screener.in/company/530735/consolidated/
Super Crop Safe,530883,,Pesticides / Agrochemicals - Indian,13.5,40.82,54.29,0.0,0.07,-90.91,8.1,17.39,6.35,1.46,1.74,38.64,0.33,-116.43,23.17,2.01,62.83,530883.0,https://www.screener.in/company/530883/consolidated/
Super Fine Knit.,540269,,Textiles - Products,15.57,33.28,19.3,0.0,0.39,,12.46,,5.42,0.51,0.69,0.54,0.47,35.45,11.06,0.83,20.94,540269.0,https://www.screener.in/company/540269/consolidated/
Super Sales Ind.,512527,,Textiles - Cotton/Blended,1649.75,38.08,506.47,0.42,1.02,-82.71,97.37,-9.78,5.03,0.14,1.24,16.52,48.8,-13.09,12.09,0.91,32.01,512527.0,https://www.screener.in/company/512527/consolidated/
Super Spinning,521180,SUPERSPIN,Miscellaneous,8.78,,48.14,0.0,-11.8,-655.47,2.61,89.13,3.97,0.39,6.93,25.23,-3.8,-81.82,11.47,0.67,-17.78,SUPERSPIN,https://www.screener.in/company/SUPERSPIN/consolidated/
Super Tannery,523842,,Leather / Leather Products,9.76,18.39,105.38,0.51,2.05,0.0,63.21,8.78,7.76,0.81,0.46,0.91,0.54,-33.84,8.74,1.08,13.2,523842.0,https://www.screener.in/company/523842/consolidated/
Superhouse Ltd,523283,SUPERHOUSE,Leather / Leather Products,219.5,19.27,240.65,0.37,3.63,-49.3,165.18,-6.0,4.66,0.44,0.36,-13.14,11.33,-15.85,7.71,0.53,-30.02,SUPERHOUSE,https://www.screener.in/company/SUPERHOUSE/consolidated/
Superior Finleas,539835,,Finance & Investments,1.56,78.0,4.68,0.0,-0.01,-114.29,0.22,-35.29,0.16,11.72,4.98,-16.07,0.02,-1837.5,444.82,1.22,-34.46,539835.0,https://www.screener.in/company/539835/consolidated/
Superior Indus.,519234,,Packaging,68.88,18.45,95.4,0.0,0.22,-69.44,8.58,-15.72,6.64,0.11,2.25,-8.92,3.73,49.57,13.69,0.91,169.23,519234.0,https://www.screener.in/company/519234/consolidated/
Supershakti Met.,541701,,Steel - Medium / Small,472.0,40.57,543.99,0.21,7.65,,385.76,,8.34,0.08,0.74,0.22,11.64,7.01,21.98,2.17,8.88,541701.0,https://www.screener.in/company/541701/consolidated/
Supertex Inds.,526133,,Textiles - Processing,10.63,109.6,12.06,0.0,0.06,-90.16,40.37,25.53,6.56,0.78,0.13,32.73,0.1,150.28,8.01,0.4,14.53,526133.0,https://www.screener.in/company/526133/consolidated/
Supra Pacific,540168,,Finance & Investments,31.99,129.77,86.95,0.0,0.46,109.09,8.62,137.47,8.2,2.0,3.36,110.5,0.25,-689.5,15.07,1.6,-6.53,540168.0,https://www.screener.in/company/540168/consolidated/
Supra Trends,511539,,Textiles - Products,45.06,,2.25,0.0,-0.02,71.43,0.0,,-3.52,,,,-1.8,22.22,-59.89,,5.92,511539.0,https://www.screener.in/company/511539/consolidated/
Suprajit Engg.,532509,SUPRAJIT,Auto Ancillaries,485.7,40.25,6732.21,0.48,59.15,44.23,783.12,12.03,13.91,0.52,2.32,5.21,12.08,56.68,19.12,4.94,49.63,SUPRAJIT,https://www.screener.in/company/SUPRAJIT/consolidated/
Supreme Engg.,,SUPREMEENG,Steel - Medium / Small,2.0,,49.99,0.0,-1.34,-182.43,15.49,47.6,-120.3,,,-74.74,,,,,25.63,SUPREMEENG,https://www.screener.in/company/SUPREMEENG/consolidated/
Supreme Holdings,530677,,Construction,57.5,27.2,213.77,0.0,1.58,-17.28,19.93,18.0,2.16,0.01,2.98,-1.91,2.11,-308.19,17.6,0.39,32.18,530677.0,https://www.screener.in/company/530677/consolidated/
Supreme Inds.,509930,SUPREMEIND,Plastics Products,4970.15,55.99,63131.81,0.6,273.37,26.83,2636.35,11.31,28.56,0.01,6.07,11.08,88.76,57.87,34.27,12.36,132.33,SUPREMEIND,https://www.screener.in/company/SUPREMEIND/consolidated/
Supreme Infra.,532904,SUPREMEINF,Engineering - Turnkey Services,79.61,,196.3,0.0,-326.45,-0.54,28.61,23.0,,,3.34,-39.22,-457.07,23.78,-130.45,,-142.61,SUPREMEINF,https://www.screener.in/company/SUPREMEINF/consolidated/
Supreme Petroch.,500405,SPLPETRO,Petrochemicals,814.5,38.43,15340.2,1.1,121.95,76.08,1573.49,28.43,22.46,0.06,2.74,11.43,21.23,44.58,24.46,7.59,152.34,SPLPETRO,https://www.screener.in/company/SPLPETRO/consolidated/
Supreme Power,,SUPREMEPWR,Electric Equipment,288.35,51.47,720.62,0.0,7.54,,58.87,,75.41,0.08,6.72,41.9,5.6,-126.47,36.27,9.75,167.01,SUPREMEPWR,https://www.screener.in/company/SUPREMEPWR/consolidated/
Supriya Lifesci.,543434,SUPRIYA,Pharmaceuticals - Indian - Bulk Drugs & Formln,396.85,26.81,3192.82,0.15,36.93,-3.4,158.18,11.18,21.75,0.01,5.6,23.74,14.8,-19.28,17.01,3.92,-74.88,SUPRIYA,https://www.screener.in/company/SUPRIYA/consolidated/
Suraj,531638,,Steel - Medium / Small,234.5,18.94,430.64,0.64,5.7,18.5,54.74,-28.44,24.07,0.27,1.39,-9.81,12.38,18.7,10.27,3.51,17.84,531638.0,https://www.screener.in/company/531638/consolidated/
Suraj Estate,544054,SURAJEST,Construction,685.1,36.41,3017.26,0.15,30.13,107.36,133.67,30.52,28.9,0.83,6.8,34.82,19.97,-6.57,13.16,5.89,17.77,SURAJEST,https://www.screener.in/company/SURAJEST/consolidated/
Suraj Industries,526211,,Trading,83.52,29.8,132.32,0.0,0.23,-92.04,10.04,-64.37,7.57,0.22,2.62,-25.11,2.84,-235.52,18.88,2.68,,526211.0,https://www.screener.in/company/526211/consolidated/
Suraj Products,518075,,Steel - Medium / Small,600.65,23.67,684.74,0.25,5.82,-23.52,92.09,-10.3,25.99,0.32,1.99,20.95,25.38,71.46,13.77,5.25,52.41,518075.0,https://www.screener.in/company/518075/consolidated/
Surana Solar,533298,SURANASOL,Electric Equipment,36.85,,181.28,0.0,0.28,16.67,11.36,72.12,2.59,0.0,8.07,-43.11,-0.25,-203.57,212.85,3.22,16.12,SURANASOL,https://www.screener.in/company/SURANASOL/consolidated/
Surana Telecom,517530,SURANAT&P,Power Generation And Supply,23.66,37.24,322.11,0.0,1.81,28.26,4.38,-37.43,7.19,0.02,14.22,-13.98,0.64,133.13,15.67,2.4,20.03,SURANAT&P,https://www.screener.in/company/SURANAT&P/consolidated/
Surani Steel Tub,,SURANI,Steel - Medium / Small,293.35,649.07,324.53,0.0,1.79,,90.52,,2.08,0.48,2.09,25.52,0.47,-8883.1,279.27,5.67,62.82,SURANI,https://www.screener.in/company/SURANI/consolidated/
Surat Trade,530185,,Trading,9.02,22.08,200.3,0.0,1.91,229.31,13.91,10.66,6.71,0.01,3.31,139.27,0.41,-168.37,14.53,0.98,-34.99,530185.0,https://www.screener.in/company/530185/consolidated/
Suratwwala Busi.,543218,SBGLP,Construction,114.85,71.62,1990.35,0.0,5.59,648.04,21.08,96.83,54.99,0.65,27.64,15.62,1.6,-1.47,51.65,34.42,286.08,SBGLP,https://www.screener.in/company/SBGLP/consolidated/
Surya Roshni,500336,SURYAROSNI,Steel - Large,591.1,19.54,6427.93,1.02,103.88,-33.21,2080.38,-3.29,21.02,0.01,0.82,-2.34,30.22,104.28,10.92,2.98,26.0,SURYAROSNI,https://www.screener.in/company/SURYAROSNI/consolidated/
